"standard","outcome","dok","scenario_id","scenario","question","option_a","option_b","option_c","option_d","answer"
"7.3","Ohio Video and Sound Production","high","","","A wide shot is most useful when you need to:","Establish where the scene is taking place","Show a small important detail","Emphasize a character's reaction","Cover an edit","A"
"7.3","Ohio Video and Sound Production","low","","","An over the shoulder shot is taken:","From behind one person, looking at another","From directly above","From the floor looking up","With the camera on a moving vehicle","A"
"7.3","Ohio Video and Sound Production","high","","","A cutaway is used to:","Cover an edit or add context by showing something else in the scene","End a scene","Introduce a character","Show the widest view of a location","A"
"7.3","Ohio Video and Sound Production","high","","","CONT'D after a character's name means:","The same character is continuing to speak after an action line","The scene continues into the next page","The dialogue was cut short","Another character will speak next","A"
"7.3","Ohio Video and Sound Production","high","","","If a script runs five pages when the assignment is three, the best fix is:","Find a scene that can be removed entirely","Reduce the font size","Delete the scene headings","Move dialogue into the action lines","A"
"7.3","Ohio Video and Sound Production","high","","","Dialogue in which two characters explain things they both already know is a problem because:","Real people do not talk that way, so it sounds false","It makes the script too short","It requires more actors","It cannot be storyboarded","A"
"7.3","Ohio Video and Sound Production","low","","","Reading your dialogue out loud matters because:","Lines that look fine on the page often do not sound like a person","It helps you memorize it","It is required for submission","It makes the script shorter","A"
"7.3","Ohio Video and Sound Production","high","","","Using a different name for the same place in different scene headings (HALLWAY, then HALL, then MAIN HALL) is a problem because:","The crew and schedule treat them as separate locations","It uses more pages","It changes the tense","Scene headings must be alphabetical","A"
"2.10","Ohio Video and Sound Production","low","","","Before recording video, exposure should be set to:","Manual, so brightness does not drift mid-shot","Auto, so the camera adjusts as you move","Program mode","Whatever the last person used","A"
"2.10","Ohio Video and Sound Production","high","","","The 180 degree rule says to set your shutter speed to:","About double your frame rate","About half your frame rate","The same as your frame rate","As fast as the light allows","A"
"2.10","Ohio Video and Sound Production","high","","","You are shooting at 24fps. The correct shutter speed is about:","1/50","1/24","1/125","1/500","A"
"2.10","Ohio Video and Sound Production","high","","","You are shooting at 30fps. The correct shutter speed is about:","1/60","1/30","1/120","1/250","A"
"2.10","Ohio Video and Sound Production","high","","","Shutter speed is not used to control brightness in video because:","It is locked to the frame rate, so brightness is controlled with aperture and ISO instead","Shutter speed does not affect brightness","Video cameras have no shutter","It only affects audio","A"
"2.10","Ohio Video and Sound Production","high","","","Autofocus is turned off for video because:","The camera hunts, racking focus in and out mid-shot, and that cannot be fixed later","Autofocus drains the battery","Manual focus is sharper at every distance","Autofocus does not work in movie mode","A"
"2.10","Ohio Video and Sound Production","high","","","White balance is set to a preset rather than auto because:","Auto shifts between takes, so footage will not match when it is cut together","Presets are more accurate in every situation","Auto white balance is not available in movie mode","Presets use less battery","A"
"2.10","Ohio Video and Sound Production","high","","","Which of these CANNOT be fixed after the shoot?","Clipped audio","A shot that is slightly too wide","A file with a bad name","Footage in the wrong folder","A"
"2.10","Ohio Video and Sound Production","high","","","Room tone is:","30 seconds of a location's ambient sound with nobody talking","A test tone played through speakers","The echo added during editing","The hum of the camera","A"
"2.10","Ohio Video and Sound Production","high","","","When a shot is too dark, the correct order is:","Open the aperture, then raise ISO, then add light","Slow the shutter, then raise ISO","Raise ISO as high as it goes first","Slow the shutter below the frame rate rule","A"
"2.10","Ohio Video and Sound Production","high","","","Raising ISO too far in video produces:","Noise, which is uglier in video than in a still photo","A warmer color cast","Softer focus","A slower frame rate","A"
"2.10","Ohio Video and Sound Production","high","","","The best check before shooting anything real is:","Shoot ten seconds and play it back","Check the battery level","Read the manual","Ask a classmate if the settings look right","A"
"2.10","Ohio Video and Sound Production","high","","","Mixing frame rates inside one video is a problem because:","It causes playback and editing problems that are not worth the trouble","It uses more storage","The camera cannot do it","Audio will not sync to any of it","A"
"2.10","Ohio Video and Sound Production","high","","","A memory card should be formatted:","In the camera, and only after everything is offloaded","On the computer before every shoot","Never, just delete files","In the camera before offloading","A"
