"standard","outcome","dok","scenario_id","scenario","question","option_a","option_b","option_c","option_d","answer"
"7.4.2","7.4 Graphics","high","","","A poster for a school wellness and nature club would most conventionally use:","Greens and earth tones","Neon pink and black","Bright red and gold","Silver and gray","A"
"7.4.2","7.4 Graphics","high","","","A designer needs a poster to communicate urgency about a closing deadline. The most conventional color choice is:","Red","Pale blue","Beige","Lavender","A"
"7.4.2","7.4 Graphics","low","","","Adding black to a hue produces a:","Shade","Tint","Complement","Analogous color","A"
"7.4.2","7.4 Graphics","low","","","Colors positioned opposite one another on the color wheel are:","Complementary","Analogous","Monochromatic","Triadic","A"
"7.4.2","7.4 Graphics","high","","","A monochromatic color scheme is most likely to produce:","A unified look where contrast comes from value","The maximum possible hue contrast","Guaranteed CMYK accuracy","A vector-based design","A"
"7.4.1","7.4 Graphics","high","","","A designer selects a vivid neon green on screen for a poster that will be commercially printed. The most likely outcome is that the printed color:","Appears duller than it did on screen","Appears brighter than it did on screen","Matches the screen exactly","Causes the export to fail","A"
"7.4.10","7.4 Graphics","low","","","The correct color mode for a file destined for a commercial ink printer is:","CMYK","RGB","Grayscale","Indexed color","A"
"7.4.5","7.4 Graphics","high","","","A logo must be enlarged to banner size with no loss of quality. The appropriate format is:","A vector file","A low resolution JPG","A 72 ppi PNG","A screenshot","A"
"7.4.5","7.4 Graphics","low","","","An image constructed from pixels is described as:","Raster","Vector","Parametric","Procedural","A"
"7.4.7","7.4 Graphics","high","","","A designer needs one file for commercial printing and one to place on a web page. The appropriate pair is:","A PDF for print and a PNG or JPG for the web","A PDF for both purposes","The editable project file for both purposes","A RAW file for print and a PDF for the web","A"
"7.4.7","7.4 Graphics","high","","","Delivering only the editable project file instead of an export is a problem because it:","Is not a finished file the recipient can open","Uses the CMYK color mode","Is always a vector","Removes the hierarchy from the design","A"
"7.4.7","7.4 Graphics","low","","","A transparent background is preserved by exporting as a:","PNG","JPG","BMP","Flattened PDF","A"
"7.5.4","7.5 Typography","high","","","Setting an entire paragraph of fine print in all capital letters most likely:","Reduces readability","Improves readability","Increases contrast with the headline only","Has no effect on legibility","A"
"7.5.2","7.5 Typography","low","","","Font weight refers to:","How bold or thin the strokes of a typeface are","The point size of the text","The spacing between letters","The width of the text column","A"
"7.4.7","7.4 Graphics","high","","","A raster photograph placed at 300 percent of its native size on a printed poster will most likely:","Appear soft or pixelated in print","Appear sharper in print","Convert automatically to vector","Change to the RGB color mode","A"
