"standard","outcome","dok","scenario_id","scenario","question","option_a","option_b","option_c","option_d","answer"
"7.1.2","Ohio Interactive Media","high","","","An empty state should:","Say what goes here and how to add the first one","Be completely blank","Show an error message","Redirect to the home screen","A"
"7.1.2","Ohio Interactive Media","high","","","A modal, or dialog, is best used to:","Confirm something important before continuing","Show information nobody asked for","Replace the main navigation","Display a long article","A"
"7.1.2","Ohio Interactive Media","high","","","Showing a loading state matters because:","A screen where nothing appears to be happening reads as broken","It makes the product faster","It is required by app stores","It saves battery","A"
"7.1.2","Ohio Interactive Media","high","","","A list of twenty items on a phone screen should:","Scroll, with rows at a readable size","Shrink so all twenty fit at once","Be split across twenty screens","Be shown in two columns","A"
"2.15.1","Ohio Interactive Media","high","","","In a design tool, a component is:","A master copy, where changing the master updates every instance","A single exported image","A locked layer","A color palette","A"
"2.15.1","Ohio Interactive Media","high","","","The main reason to make a repeated navigation bar into a component is:","You change it once instead of fixing the same thing on every screen","It makes the file smaller","It is required for prototyping","It prevents others from editing it","A"
"2.15.1","Ohio Interactive Media","high","","","Placeholder text in an empty input field should be:","Gray, and an example of what goes there","The same color as typed text","A full sentence of instructions","Left blank","A"
"2.15.1","Ohio Interactive Media","high","","","When testing a prototype on another person, the designer should:","Give them the task and then say nothing","Explain each screen as they go","Point out where to tap","Ask whether they like the colors","A"
"2.15.1","Ohio Interactive Media","high","","","During a user test, every time the designer wants to explain something, it means:","They have found a design problem","The tester is not paying attention","The prototype is finished","The task was too easy","A"
"2.15.1","Ohio Interactive Media","high","","","Scoping a project to one task a person does is useful because:","A small thing finished well is more valuable than a large thing left vague","Clients pay more for small projects","It avoids needing a prototype","Fewer screens means fewer decisions","A"
