"standard","outcome","dok","scenario_id","scenario","question","option_a","option_b","option_c","option_d","answer"
"7.6","Ohio Aviation and UAS","high","","","A METAR reads 18/17. What should you expect?","Fog or mist, because the temperature and dew point are nearly the same","Clear skies, because the numbers are close","High winds","Rising temperature","A"
"7.6","Ohio Aviation and UAS","high","","","A2998 in a METAR means:","An altimeter setting of 29.98 inches of mercury","A visibility of 2,998 feet","An altitude of 2,998 feet","A temperature of 29.98 degrees","A"
"7.6","Ohio Aviation and UAS","low","","","In a METAR, RA means:","Rain","Radar","Rapid air","Runway advisory","A"
"7.6","Ohio Aviation and UAS","low","","","In a METAR, FG means:","Fog","Fine gusts","Freezing ground","Flight guidance","A"
"7.6","Ohio Aviation and UAS","high","","","In a METAR, -RA means:","Light rain","No rain","Rain ending","Reduced rain visibility","A"
"7.6","Ohio Aviation and UAS","high","","","VCTS in a METAR means:","A thunderstorm in the vicinity, nearby but not overhead","Visibility clear, thunderstorm passed","Very cold temperatures and snow","Vertical cloud tops small","A"
"7.6","Ohio Aviation and UAS","low","","","The Z in a METAR time group such as 141851Z means the time is given in:","Zulu time, which is UTC, the same clock worldwide","The local time zone","Zone time, set by each state","Zero hour, counted from midnight local","A"
"7.6","Ohio Aviation and UAS","high","","","In September, Ohio is UTC minus 4. A METAR timestamped 1851Z was observed at what local time?","2:51 PM","10:51 PM","6:51 PM","12:51 AM","A"
"7.6","Ohio Aviation and UAS","high","","","Checking the time on a METAR matters because:","It is an observation, not a forecast, so an old one may describe weather that no longer exists","The time affects the units used","Older reports are more accurate","The time determines the airspace class","A"
"7.6","Ohio Aviation and UAS","low","","","A TAF differs from a METAR because a TAF:","Forecasts what the weather is expected to do over a window of time","Reports what the weather is doing right now","Is only issued for drones","Uses different units","A"
"7.6","Ohio Aviation and UAS","high","","","In a TAF, FM150200 marks:","A change expected from 0200Z on the 15th","The forecast was issued at 0200Z","A 15 knot wind from 200 degrees","A 2 hour period of fog","A"
"7.6","Ohio Aviation and UAS","high","","","You should check the TAF as well as the METAR because:","The METAR says whether you can launch, the TAF says whether conditions will hold","The TAF is more accurate","The METAR does not include wind","The TAF is legally required before every flight","A"
"7.13","Ohio Aviation and UAS","high","","","Gusty wind is harder on a small drone than steady wind because:","The aircraft is repeatedly pushed off position and has to correct, which drains battery and ruins a steady shot","Gusts are always colder","Steady wind cannot affect an aircraft","Gusts interfere with the controller signal","A"
"7.13","Ohio Aviation and UAS","high","","","Wind shear is:","A sudden change in wind speed or direction over a short distance","Wind that blows in only one direction","A steady wind above 20 knots","The shadow of wind behind a building","A"
"7.13","Ohio Aviation and UAS","high","","","Flying near a building on a windy day is a hazard because:","Air moving around a structure becomes turbulent and unpredictable","Buildings block the GPS signal entirely","Wind is always stronger at ground level","Buildings make the air colder","A"
"7.13","Ohio Aviation and UAS","high","","","A thunderstorm 10 miles away is still a reason not to fly because:","Thunderstorms produce violent shifting winds and conditions change rapidly well outside the storm itself","Lightning is attracted to drones specifically","The METAR becomes invalid","Thunderstorms always move toward the observer","A"
"7.13","Ohio Aviation and UAS","high","","","Flying in visible precipitation is a problem because:","Most small drones are not weather sealed, and water can reach the motors and electronics","Rain makes the aircraft too heavy to lift","Precipitation blocks the controller signal","It is prohibited in all airspace","A"
"7.13","Ohio Aviation and UAS","high","","","On a very hot day, the air is thinner, which means the aircraft:","Has less lift to work with and may perform worse","Flies more efficiently","Is unaffected, since drones use propellers","Can fly higher than 400 feet legally","A"
"7.13","Ohio Aviation and UAS","high","","","Icing is a hazard because ice on the aircraft:","Adds weight and disrupts the airflow that produces lift","Only affects the camera lens","Makes the battery charge faster","Improves stability in wind","A"
"2.1","Ohio Aviation and UAS","low","","","Personal minimums are:","Limits a pilot sets for themselves, stricter than the legal limits","The lowest altitude a drone may fly","The minimum crew size required","The FAA's absolute limits","A"
"2.1","Ohio Aviation and UAS","high","","","Personal minimums should be stricter than the Part 107 limits because:","The legal limit is the absolute edge of what is allowed, not a target, and a student flying near people should leave margin","Stricter limits are required by law","It makes the paperwork simpler","The FAA limits only apply to commercial pilots","A"
"2.1","Ohio Aviation and UAS","high","","","You set a personal gust limit of 15 knots. The METAR shows G18. The correct action is:","No-go, and log the reason you scrubbed","Fly, since 18 is under the Part 107 limit","Fly, but stay under 100 feet","Take a group vote","A"
"2.1","Ohio Aviation and UAS","high","","","The reason to write personal minimums down in advance is:","You decide calmly, before you are standing in a field with people waiting on you","It is required on the flight log","It makes the flight go faster","Written limits are legally binding","A"
"7.6","Ohio Aviation and UAS","low","","","The official source for current aviation weather is:","aviationweather.gov","A phone weather app","A television forecast","Whatever the sky looks like","A"
"7.9","Ohio Aviation and UAS","high","","","Part 107 requires a minimum flight visibility of:","3 statute miles","1 statute mile","3 nautical miles","5 statute miles","A"
"7.9","Ohio Aviation and UAS","high","","","A METAR showing 2SM visibility means:","No-go, because it is below the 3 statute mile minimum","Go, since 2 miles is still plenty to see the aircraft","Go, if a visual observer is present","No-go only if it is also raining","A"
"7.6","Ohio Aviation and UAS","high","","","Reading a METAR left to right always gives the fields in the same order. This matters because:","You can find any field quickly without hunting, since the format never changes","The order changes by region","It is alphabetical","Later fields are more important","A"
"2.1","Ohio Aviation and UAS","high","","","Scrubbing a flight when the numbers say scrub is best described as:","Doing the job correctly","A wasted day","A failure of planning","An overreaction","A"
