"standard","outcome","question","option_a","option_b","option_c","option_d","answer"
"7.3.11","7.3 Production","Adding alt text to images supports:","Accessibility for users with visual impairments.","Faster printing.","Smaller monitors.","Louder audio.","A"
"7.3.5","7.3 Production","Combining a photographed subject with a graphic background requires:","Integrating photographic images with graphic elements (e.g., masking and layers).","Only changing the file's name.","Only lowering the resolution.","Only printing in black and white.","A"
"7.4.5","7.4 Graphics","Which image type stays sharp at any size because it is defined by math instead of pixels?","Vector.","Raster.","JPEG photo.","Bitmap.","A"
"7.4.1","7.4 Graphics","Which color mode is used for images intended for professional print?","CMYK.","RGB.","HTML.","ISO.","A"
"7.4.7","7.4 Graphics","You need a logo with a transparent background for a website header. Which format is best?","PNG.","JPEG.","A print-only CMYK TIFF.","A BMP with a white box behind it.","A"
"7.4.4","7.4 Graphics","Grouping and locking layers in an editor helps you:","Keep elements organized and prevent accidental moves.","Increase the camera's ISO.","Change the shutter speed.","Reduce copyright restrictions.","A"
"7.4.2","7.4 Graphics","In a layout, an element's visual weight is most affected by its:","Size, color, and contrast.","File name.","Creation date.","Camera brand.","A"
"7.5.4","7.5 Typography","A typeface with small 'feet' at the ends of the strokes is called:","Serif.","Sans serif.","Monospace.","Vector.","A"
"7.5.2","7.5 Typography","A common guideline when mixing type in one project is to:","Use a small number of complementary typefaces (e.g., one for headings, one for body).","Use as many different fonts as possible.","Use one font at one size for everything.","Never use more than one ink color.","A"
"7.5.1","7.5 Typography","Type size is most commonly measured in:","Points.","Inches of RAM.","Megabytes.","Degrees.","A"
"7.5.3","7.5 Typography","The vertical space between lines of text is called:","Leading.","Kerning.","Tracking.","Bleeding.","A"
"7.9.5","7.9 Photographs","Which three settings make up the exposure triangle?","Aperture, shutter speed, and ISO.","Hue, saturation, and value.","RGB, CMYK, and Pantone.","Serif, sans, and script.","A"
"7.9.5","7.9 Photographs","To blur the background of a portrait, you should use:","A low f-number (wide aperture).","A high f-number (narrow aperture).","A very fast shutter speed alone.","A very high ISO alone.","A"
"7.9.5","7.9 Photographs","Raising the ISO on a camera:","Brightens the image but can add noise (grain).","Always makes the image sharper.","Has no visible effect.","Changes the lens focal length.","A"
"7.9.4","7.9 Photographs","The 'rule of thirds' is a guideline for:","Composition and placement of the subject in the frame.","Choosing the ISO.","Exporting files.","Selecting color modes.","A"
"7.9.5","7.9 Photographs","To freeze fast motion sharply in a photo, you should use:","A fast shutter speed.","A slow shutter speed.","A wide aperture only.","A lower ISO only.","A"
