"standard","outcome","dok","scenario_id","scenario","question","option_a","option_b","option_c","option_d","answer"
"7.12.10","7.12 Takeoff & Landing","low","","","Postflight procedures for a drone include:","Inspecting and logging batteries","Filing a fresh NOTAM for next year","Raising the camera's ISO","Repainting the propellers","A"
"7.14.14","7.14 Emergency Operations","high","","","During preflight a pilot finds a swollen battery. The correct action is to:","Remove it and store it safely","Charge it faster to fix it","Use it until it fully dies","Trash it while still charging","A"
"7.13.2","7.13 Flight Environment","high","","","A client wants a flight directly over a packed stadium with no waiver. The pilot should:","Decline, since it breaks the rules","Do it, since the client is paying","Do it if the flight is quick","Do it if the drone is small","A"
"2.1.6","2.1 Facility Safety","high","","","Before a demo, a boundary that keeps spectators back is meant to:","Keep clearance and prevent injury","Improve the site's Wi-Fi signal","Extend the aircraft battery life","Change the local airspace class","A"
"7.4.9","7.4 Aerodynamics","high","","","Adding a heavier camera payload to a drone will generally:","Cut flight time and need more power","Have no effect on the flight","Increase the total flight time","Change the local airspace class rules","A"
"7.12.1","7.12 Takeoff & Landing","high","","","On final approach, a person walks into the landing zone. The safest action is to:","Go around and reposition to land","Cut power so it drops straight down","Speed up to land before they arrive","Continue the landing as planned","A"
"7.8.6","7.8 Human Factors","high","","","Spotting a risky choice and changing course before an accident is the goal of:","Aeronautical decision-making","GIS terrain mapping","Foley sound-effect editing work","Video color grading","A"
"7.9.3","7.9 Small UAS","high","","","Under Part 107, a small drone must generally be flown:","Within the crew's line of sight","Above 800 feet at all times","Directly over crowds of people","Only at night with no lights","A"
"7.11.4","7.11 Preflight Preparation","high","AV-S1","A remote pilot is planning an aerial mapping flight over a farm field located about three miles from a small airport. It is a breezy afternoon.","To check the current conditions at the field before flying, the pilot reads a:","METAR weather observation","NOTAM for next season","GIS elevation model","Camera exposure histogram","A"
"7.5.1","7.5 Airport Environments","high","AV-S1","A remote pilot is planning an aerial mapping flight over a farm field located about three miles from a small airport. It is a breezy afternoon.","Because the field is near an airport, being in controlled airspace may require:","Authorization to fly there","A larger set of propellers","A faster camera memory card","A second backup camera","A"
"7.13.2","7.13 Flight Environment","high","AV-S1","A remote pilot is planning an aerial mapping flight over a farm field located about three miles from a small airport. It is a breezy afternoon.","During the flight, a crewed airplane approaches. The drone must:","Give way to the crewed aircraft","Hold and let the airplane move","Climb above the crewed airplane","Continue on its planned path","A"
"7.11.14","7.11 Preflight Preparation","high","AV-S1","A remote pilot is planning an aerial mapping flight over a farm field located about three miles from a small airport. It is a breezy afternoon.","Just before launch, the pilot's preflight inspection is done to:","Confirm the aircraft is airworthy","Raise the camera's resolution","Register the drone with the FAA","Choose a font for the map","A"
"7.14.15","7.14 Emergency Operations","high","AV-S2","Midway through a flight, the drone suddenly stops responding to the controller.","When the control link is lost, a properly set up drone will usually:","Hover or return to home on its own","Speed up and climb far away","Cut all motors and drop at once","Land on the nearest person","A"
"7.13.20","7.13 Flight Environment","high","AV-S2","Midway through a flight, the drone suddenly stops responding to the controller.","If this same failure happened at night, an added challenge of night flight is:","Reduced visibility of the aircraft","Too much lift on the drone","GPS signals that grow far too strong","Batteries draining more slowly","A"
