"standard","outcome","dok","scenario_id","scenario","question","option_a","option_b","option_c","option_d","answer"
"2.1","Ohio Aviation and UAS","high","","","You set a personal gust limit of 15 knots. The METAR shows G18. The correct action is:","No-go, and log the reason you scrubbed","Fly, since 18 is under the Part 107 limit","Fly, but stay under 100 feet","Take a group vote","A"
"7.6","Ohio Aviation and UAS","low","","","The official source for current aviation weather is:","aviationweather.gov","A phone weather app","A television forecast","Whatever the sky looks like","A"
"7.9","Ohio Aviation and UAS","high","","","Part 107 requires a minimum flight visibility of:","3 statute miles","1 statute mile","3 nautical miles","5 statute miles","A"
"7.9","Ohio Aviation and UAS","high","","","A METAR showing 2SM visibility means:","No-go, because it is below the 3 statute mile minimum","Go, since 2 miles is still plenty to see the aircraft","Go, if a visual observer is present","No-go only if it is also raining","A"
"2.1","Ohio Aviation and UAS","high","","","Scrubbing a flight when the numbers say scrub is best described as:","Doing the job correctly","A wasted day","A failure of planning","An overreaction","A"
"7.13","Ohio Aviation and UAS","low","","","Controlled airspace is airspace where:","Air traffic control provides service, and drone flight requires authorization","Nobody separates traffic","Drones are always banned","Only military aircraft may fly","A"
"7.13","Ohio Aviation and UAS","low","","","Class G airspace is:","Uncontrolled. No authorization is required to fly a drone","The busiest airspace in the country","Always above 10,000 feet","Restricted to commercial pilots","A"
"7.13","Ohio Aviation and UAS","high","","","Which of these does NOT require authorization before flying a drone?","Class G","Class B","Class C","Class D","A"
"7.13","Ohio Aviation and UAS","high","","","Flying in Class G means:","No authorization is needed, but every Part 107 rule still applies","There are no rules at all","You may exceed 400 feet","Visual line of sight is optional","A"
"7.13","Ohio Aviation and UAS","high","","","Class B airspace is shaped like an upside-down wedding cake, which means:","You can be underneath part of it and be in uncontrolled airspace at the ground","It is the same size at every altitude","It only exists above 10,000 feet","It is a perfect cylinder","A"
"7.9","Ohio Aviation and UAS","low","","","LAANC is:","The system that grants automated authorization to fly in controlled airspace","A type of drone battery","A weather reporting service","A model of controller","A"
"7.9","Ohio Aviation and UAS","high","","","A grid square on the FAA UAS Facility Map reads 200. Your maximum altitude there is:","200 feet AGL","400 feet AGL","200 feet MSL","There is no limit with LAANC approval","A"
"7.9","Ohio Aviation and UAS","high","","","When a grid ceiling is lower than 400 feet:","The lower number wins","You may still fly to 400 feet","The grid number is only a suggestion","You automatically get further coordination","A"
"7.9","Ohio Aviation and UAS","high","","","A grid square with a ceiling of 0 means:","No drone flight is pre-approved there at any altitude","You may fly up to 100 feet","Authorization is automatic","The data is missing","A"
"7.9","Ohio Aviation and UAS","high","","","Requesting to fly higher than a grid ceiling allows is called further coordination, and it:","Takes days and is not guaranteed","Is approved instantly","Is never permitted","Only applies at night","A"
"7.13","Ohio Aviation and UAS","high","","","Solid blue rings on a sectional chart indicate:","Class B airspace","Class C airspace","Class D airspace","Class G airspace","A"
"7.13","Ohio Aviation and UAS","high","","","Solid magenta rings on a sectional chart indicate:","Class C airspace","Class B airspace","Class D airspace","Class E at the surface","A"
"7.13","Ohio Aviation and UAS","high","","","A dashed blue ring on a sectional chart indicates:","Class D airspace","Class B airspace","Class C airspace","Class G airspace","A"
"7.13","Ohio Aviation and UAS","high","","","A dashed magenta ring on a sectional chart indicates:","Class E airspace beginning at the surface","Class D airspace","Class C airspace","A restricted area","A"
"7.13","Ohio Aviation and UAS","high","","","An area of a sectional chart with no airspace rings drawn over it is:","Class G, uncontrolled","Class E at the surface","Class B","Unmapped","A"
"7.13","Ohio Aviation and UAS","high","","","On an airspace ring you see 70 over 25. This means that piece of airspace runs from:","2,500 feet up to 7,000 feet","70 feet up to 25 feet","7,000 feet up to 25,000 feet","2.5 miles to 7 miles","A"
"7.13","Ohio Aviation and UAS","high","","","On an airspace ring, the bottom number reads SFC. This means:","The airspace extends all the way down to the surface","The airspace has no floor listed","The airspace is surface-level restricted","Special flight coordination is required","A"
"7.13","Ohio Aviation and UAS","high","","","You are at a point where the airspace above you runs from 1,200 feet to 4,000 feet. Flying at 300 feet AGL, you are:","Underneath that airspace, not inside it","Inside that airspace","Above that airspace","In violation of Part 107","A"
"7.13","Ohio Aviation and UAS","high","","","An obstruction on a sectional chart is labeled 1549 with (451) beneath it. The 451 is:","The height above the ground, in feet AGL","The height above sea level","The distance from the nearest airport","The frequency for the tower","A"
"7.13","Ohio Aviation and UAS","high","","","For a drone pilot, the more important obstruction number is:","The one in parentheses, because it is height above the ground","The taller number, because it is height above sea level","Neither, obstructions do not affect drones","Both are the same value","A"
"7.13","Ohio Aviation and UAS","high","","","An obstruction is marked (620). Your legal ceiling is 400 feet AGL. This means:","The tower is taller than you may legally fly, so you go around it","You may fly over it at 400 feet","You may exceed 400 feet to clear it","The tower is below your flight path","A"
"7.13","Ohio Aviation and UAS","high","","","Starburst marks drawn around the top of an obstruction symbol mean:","It is lit at night","It is under construction","It is a radio antenna","It is taller than 2,000 feet","A"
"2.1","Ohio Aviation and UAS","high","","","Guy-wires on a tall tower are a hazard because they:","Extend far from the base, are nearly invisible from the air, and are not drawn on the chart","Are always marked with lights","Carry high voltage","Only exist on towers under 200 feet","A"
"7.13","Ohio Aviation and UAS","high","","","A magenta airport symbol on a sectional chart means the airport:","Has no control tower","Has a control tower","Is closed","Is private","A"
"7.13","Ohio Aviation and UAS","high","","","A blue airport symbol on a sectional chart means the airport:","Has a control tower","Has no control tower","Is military only","Has no fuel","A"
"7.13","Ohio Aviation and UAS","high","","","In an airport's text block, a runway length listed as 40 means:","4,000 feet","40 feet","400 feet","40 miles","A"
"7.13","Ohio Aviation and UAS","low","","","Field elevation on a sectional chart is given:","In feet above sea level","In feet above the ground","In meters","As a percentage of the highest terrain","A"
"7.9","Ohio Aviation and UAS","low","","","Part 107 is:","The FAA rules covering small drone operations for work or any non-recreational purpose","A model of drone","A weather reporting standard","A type of airspace","A"
"7.9","Ohio Aviation and UAS","low","","","A person who passes the Part 107 exam receives a:","Remote Pilot Certificate","Private pilot license","TRUST certificate","Drone registration","A"
"7.9","Ohio Aviation and UAS","low","","","The minimum age to hold a Remote Pilot Certificate is:","16","14","18","21","A"
"7.9","Ohio Aviation and UAS","high","","","A Remote Pilot Certificate holder must complete recurrent training every:","24 calendar months","6 months","12 months","5 years","A"
"7.9","Ohio Aviation and UAS","low","","","TRUST stands for:","The Recreational UAS Safety Test","Tested Remote UAS Standard Training","The Registered UAS Safety Ticket","Total Remote Unmanned Systems Test","A"
"7.9","Ohio Aviation and UAS","high","","","The difference between TRUST and Part 107 is:","TRUST is for recreational flying, Part 107 is for work or other non-recreational flying","TRUST is harder","Part 107 is only for people over 18","They are the same test","A"
"7.9","Ohio Aviation and UAS","high","","","Filming video that a school will use to promote an event falls under:","Part 107, because it is not purely recreational","TRUST, because no money changes hands","Neither, school activities are exempt","Part 107 only if the pilot is paid","A"
"7.9","Ohio Aviation and UAS","low","","","A drone must be registered with the FAA if it weighs more than:","0.55 pounds, or 250 grams","5 pounds","1 pound","Registration is never required","A"
"7.9","Ohio Aviation and UAS","high","","","The registration number must be:","Marked on the outside of the aircraft","Kept with your paperwork at home","Written on the controller","Memorized only","A"
"7.9","Ohio Aviation and UAS","low","","","The maximum altitude for most small drone operations is:","400 feet above ground level","400 feet above sea level","1,000 feet above ground level","There is no limit","A"
"7.9","Ohio Aviation and UAS","high","","","Under Part 107, the required distance from clouds is:","500 feet below and 2,000 feet horizontally","100 feet below and 500 feet horizontally","1,000 feet below and 1 mile horizontally","There is no requirement","A"
"7.9","Ohio Aviation and UAS","high","","","Under Part 107, the maximum groundspeed for a small drone is:","100 miles per hour","100 knots","50 miles per hour","There is no limit","A"
"7.9","Ohio Aviation and UAS","low","","","VLOS means:","Visual line of sight: you can see the aircraft with your own eyes","Very low operating speed","Vertical lift off system","Visual landing orientation system","A"
"7.9","Ohio Aviation and UAS","high","","","Under Part 107, a remote pilot may operate:","One aircraft at a time","Two aircraft with a visual observer","As many as they can see","Any number with LAANC approval","A"
"7.9","Ohio Aviation and UAS","high","","","Under Part 107, flying at night is:","Allowed if the aircraft has working anti-collision lighting","Never allowed","Allowed with no extra equipment","Allowed only with a waiver","A"
"7.9","Ohio Aviation and UAS","high","","","Flying directly over people who are not part of your operation is:","Restricted, and only allowed if the operation meets specific FAA category requirements","Always allowed","Allowed below 100 feet","Allowed with a visual observer","A"
"2.1","Ohio Aviation and UAS","low","","","The RPIC is the:","Remote Pilot in Command, the person responsible for the safety of the flight","Radio Protocol and Intercom Controller","Registered Personal Identification Code","Remote Positioning and Imaging Camera","A"
"2.1","Ohio Aviation and UAS","low","","","A visual observer's job is to:","Keep eyes on the aircraft at all times and never look at a screen","Fly the aircraft when the pilot is tired","Operate the camera","Talk to air traffic control","A"
"7.11","Ohio Aviation and UAS","low","","","A preflight check is done:","Before every flight, to confirm the aircraft and the site are safe","Once per semester","Only after a crash","Only in bad weather","A"
"7.13","Ohio Aviation and UAS","high","","","A NOTAM is important to check even when the airspace looks clear because:","It reports temporary restrictions that do not appear on any chart","It contains the weather forecast","It lists airport frequencies","It shows terrain elevation","A"
