"Question","Correct Answer","Incorrect Answer 1","Incorrect Answer 2","Incorrect Answer 3"
"A successful panning shot has:","A sharp subject and a streaked background","A blurry subject and sharp background","Everything blurry","Everything frozen"
"Shot size refers to:","How much of the subject is in the frame","The megapixel count","The lens diameter","The file size"
"An over the shoulder shot is taken:","From behind one person looking at another","From directly overhead","From ground level looking up","With the lens touching the subject"
"Framing is:","What you choose to include and leave out of the frame","The border added in editing","The tripod setup","The color profile"
"To confirm focus before shooting you should:","Half press the shutter","Fully press the shutter twice","Turn the camera off and on","Raise the ISO"
"Offloading means:","Copying files off the card to Drive","Deleting files from the card","Emailing files to yourself","Printing the files"
"The memory card should be treated as:","Temporary space, not storage","Permanent long term storage","A backup drive","An editing scratch disk"
"A camera kit goes back:","Complete, matching its kit card","However it fits in the bag","Only when the teacher asks","With the battery removed only"
"Before submitting, edited photos should be exported as:","JPG","RAW","PSD","TXT"
"You should not submit RAW files because they are:","Large and will not open for everyone","Lower quality than JPGs","Always corrupted","Not allowed by the camera"
"Our file naming pattern for submitted photos is:","lastname-what-it-is.jpg","The camera default name","The date only","Your first name only"
"A file named IMG_4821.CR2 is a problem because it:","Does not identify the student or the content","Cannot be opened by any program","Is always overexposed","Has no color data"
"Photos should be submitted to Google Classroom as:","Attached files","A link to a folder","A printed copy","A message to the teacher"
"A before and after pair means submitting:","The untouched original and the edited version","Two different subjects","The same file twice","A RAW and a video"
"If your file does not appear under 'Your work' in Classroom, it:","Did not submit","Was already graded","Was automatically renamed","Was converted to RAW"
"Turning work in correctly is:","Part of the grade","Optional","Only tracked at the end of the quarter","Handled automatically"
"The safest workflow right after a shoot is to:","Offload and back up the files first","Delete the blurry shots on the card","Start editing on the card","Format the card"
"Shooting the same subject in daylight and indoors best demonstrates a difference in:","Color temperature","Depth of field","Shutter speed","Resolution"
"Auto white balance can still get color wrong under:","Mixed or unusual lighting","Bright daylight only","Any indoor light","Every condition"
