"Question","Correct Answer","Incorrect Answer 1","Incorrect Answer 2","Incorrect Answer 3"
"A spectator line is used to:","Keep people back from the flight area","Mark the maximum altitude","Show the camera angle","Indicate the wind direction"
"Controlled airspace means:","Someone is responsible for separating traffic","No aircraft may enter","Drones are always banned","Weather reports are not required"
"Controlled airspace classes include:","B, C, D, and E","F, G, H, and I","Only A and B","Only G"
"Class G airspace is:","Uncontrolled","The most tightly controlled","Reserved for military use","Only above 18,000 feet"
"In uncontrolled airspace, staying clear of other traffic is:","The pilot's responsibility","Air traffic control's responsibility","The manufacturer's responsibility","Not required"
"LAANC provides:","Near instant authorization to fly in controlled airspace","Live weather video","Automatic flight logging","Battery health monitoring"
"A sectional chart is:","The aviation map","A weather forecast","A maintenance log","A battery chart"
"The ceiling at a location is:","The highest altitude you may fly there","The lowest cloud layer only","The maximum battery temperature","The distance limit from the pilot"
"Which situation most likely requires authorization before flying?","Flying in controlled airspace near an airport","Flying in Class G far from any airport","Flying indoors","Flying under 50 feet in a backyard"
"A METAR is:","A coded weather report from an airport","A notice about temporary hazards","An airspace authorization","A flight log entry"
"How often is a METAR normally updated?","Hourly","Once a week","Every 10 seconds","Once a month"
"A NOTAM is:","A short term notice about something that changed","A coded weather observation","A pilot certificate","A type of propeller"
"The difference between a METAR and a NOTAM is:","A METAR reports weather, a NOTAM reports a hazard or restriction","They are the same document","A NOTAM is always about wind","A METAR is issued yearly"
"Part 107 requires minimum visibility of:","3 statute miles","1 statute mile","10 statute miles","No minimum"
"Part 107 cloud clearance requires staying:","500 feet below and 2,000 feet horizontally from clouds","100 feet below and 500 feet horizontally","Directly beneath the clouds","Above all clouds"
"A go or no-go decision should be based on:","Rules and judgment","Hope that the weather holds","How many people are watching","How new the drone is"
"Preflight is:","An inspection done before every flight from a checklist","A test flight at low altitude","The paperwork filed after landing","The battery charging process"
"Our rule about preflight is:","No preflight, no flight","Preflight only on the first flight of the day","Preflight only for new pilots","Preflight is optional in good weather"
"Airworthy means:","The aircraft is in a condition safe to fly","The aircraft is registered","The battery is fully charged","The pilot is certified"
"Who decides the aircraft is airworthy?","The RPIC, on every flight","The manufacturer","The visual observer","Air traffic control"
"If a preflight item fails, you should:","Fix it before flying","Fly carefully anyway","Note it and fly","Ask a classmate to fly instead"
"Propellers should be inspected for:","Cracks and chips","Correct color","Brand markings","Serial numbers only"
"Lost link means:","The aircraft stops hearing the controller","The camera feed is grainy","The battery is low","The GPS is upgrading"
"Return to Home makes the drone:","Fly back to its takeoff point automatically","Land immediately where it is","Hover until the battery dies","Turn off the motors"
"Return to Home altitude should be set:","Above nearby buildings and trees","At the lowest possible setting","Exactly at eye level","Below the tree line"
"The home point should be updated:","At launch","After landing","Once per school year","Only if the drone drifts"
"Battery care before a flight day means:","Charging it the night before","Storing it fully empty","Leaving it in the car overnight","Charging it during the flight"
"A flight log records:","Aircraft, pilot, duration, and notes","Only the weather","Only the battery voltage","Only the footage file name"
"Yaw is rotation that:","Swings the nose left or right","Tilts the nose up or down","Tilts the aircraft side to side","Moves the aircraft straight up"
"Pitch is rotation that:","Tilts the nose forward or back","Swings the nose left or right","Rolls the aircraft sideways","Changes altitude directly"
"Roll is rotation that:","Tilts the aircraft side to side","Swings the nose left or right","Tilts the nose forward or back","Spins the propellers faster"
"Throttle controls:","Altitude, up and down","Nose direction","Camera tilt","Battery output only"
"On a Mode 2 controller, the LEFT stick controls:","Throttle and yaw","Pitch and roll","Camera zoom and tilt","Return to Home only"
"On a Mode 2 controller, the RIGHT stick controls:","Pitch and roll","Throttle and yaw","Gimbal tilt","Landing gear"
"Heading describes:","The direction the drone is traveling","The direction the camera faces","The altitude of the drone","The battery percentage"
"Pointing describes:","The direction the nose and camera face","The direction the drone is traveling","The distance from the pilot","The wind direction"
"In a sideways strafe with no yaw input, the camera:","Keeps facing forward while the drone moves sideways","Turns to face the direction of travel","Points straight down","Spins continuously"
"To orbit a subject and keep it centered you must combine:","Roll and yaw","Throttle and pitch","Pitch and gimbal tilt","Yaw and Return to Home"
"A slow rise while tilting the gimbal down creates a:","Reveal shot","Strafe shot","Orbit shot","Follow shot"
"Gimbal tilt controls the camera's:","Up and down angle","Left and right rotation","Zoom level","Exposure setting"
"Smooth cinematic video comes from:","Small, gentle stick inputs","Fast, large stick inputs","Flying at maximum speed","Frequent direction changes"
"Before a video flight the camera should be set to:","Video mode with a chosen resolution and frame rate","Photo mode only","Panorama mode","Time lapse by default"
"Before flying, the storage card should be:","In the aircraft and cleared","Left in the computer","Full from the last flight","Removed for safety"
